Package,Version
BH,1.90.0-1
DBI,1.3.0
EAVA,1.0.0
InSilicoVA,1.4.2
InterVA4,1.7.6
InterVA5,1.1.3
KernSmooth,2.23-26
LaplacesDemon,16.1.8
MASS,7.3-64
Matrix,1.7-2
QuickJSR,1.10.0
R6,2.6.1
RColorBrewer,1.1-3
RPostgres,1.4.10
Rcpp,1.1.2
RcppEigen,0.3.4.0.2
RcppParallel,6.2.0
S7,0.2.2
StanHeaders,2.32.10
Tariff,1.0.5
abind,1.4-8
askpass,1.2.1
backports,1.5.1
base,4.4.3
bit,4.6.0
bit64,4.8.2
blob,1.3.0
boot,1.3-31
callr,3.8.0
cellranger,1.1.0
checkmate,2.3.4
class,7.3-23
cli,3.6.6
cluster,2.1.8
coda,0.19-4.1
codetools,0.2-20
compiler,4.4.3
cpp11,0.5.5
crayon,1.5.3
curl,7.1.0
datasets,4.4.3
desc,1.4.3
digest,0.6.39
distributional,0.8.1
docopt,0.7.2
evaluate,1.0.5
farver,2.1.2
fastmap,1.2.0
foreign,0.8-88
future,1.75.0
generics,0.1.4
ggplot2,4.0.3
globals,0.19.1
glue,1.8.1
grDevices,4.4.3
graphics,4.4.3
grid,4.4.3
gridExtra,2.3.1
gtable,0.3.6
highr,0.12
hms,1.1.4
httpuv,1.6.17
inline,0.3.21
isoband,0.3.0
jose,2.0.0
jsonlite,2.0.0
knitr,1.51
labeling,0.4.3
later,1.4.8
lattice,0.22-6
lifecycle,1.0.5
listenv,1.0.0
littler,0.3.21
loo,2.10.1
lubridate,1.9.5
magrittr,2.0.5
matrixStats,1.5.0
methods,4.4.3
mgcv,1.9-1
mime,0.13
nlme,3.1-167
nnet,7.3-20
numDeriv,2016.8-1.1
openVA,1.2.0
openssl,2.4.2
otel,0.2.0
parallel,4.4.3
parallelly,1.48.0
patchwork,1.3.2
pillar,1.11.1
pkgbuild,1.4.8
pkgconfig,2.0.3
plumber,1.3.3
plyr,1.8.9
pool,1.0.5
posterior,1.7.0
prettyunits,1.2.0
processx,3.9.0
progress,1.2.3
promises,1.5.0
ps,1.9.3
rJava,1.0-18
readxl,1.5.0
rematch,2.0.0
reshape2,1.4.5
rlang,1.3.0
rpart,4.1.24
rstan,2.32.7
scales,1.4.0
sodium,1.4.0
spatial,7.3-18
splines,4.4.3
stats,4.4.3
stats4,4.4.3
stringi,1.8.7
stringr,1.6.0
survival,3.8-3
swagger,5.32.1
sys,3.4.3
tcltk,4.4.3
tensorA,0.36.2.1
tibble,3.3.1
timechange,0.4.0
tools,4.4.3
utf8,1.2.6
utils,4.4.3
uuid,1.2-2
vacalibration,2.2
vctrs,0.7.3
viridisLite,0.4.3
webutils,1.2.3
withr,3.0.3
xfun,0.60
yaml,2.3.12
